Number of Iterations,Total Nodes,Nodes in Actual Path,Path Length
230,133,52,50.99999999999999
297,197,54,53.0
322,190,63,62.0
314,241,62,61.0
335,153,57,56.0
309,220,57,56.0
263,190,57,56.0
291,206,65,63.99999999999999
318,239,55,54.0
216,153,55,54.0
330,178,59,58.0
212,123,51,50.0
361,201,63,62.0
198,146,54,53.0
260,187,53,52.0
325,208,61,60.0
203,168,57,56.0
282,187,53,52.0
204,162,54,53.0
393,200,55,54.0
220,151,52,51.0
288,152,63,62.0
273,166,59,58.0
588,369,70,69.0
422,179,59,58.0
434,298,61,60.0
332,222,52,50.99999999999999
325,209,57,56.0
479,247,53,52.0
263,177,56,54.99999999999999
317,213,61,60.0
219,166,55,54.0
295,181,59,58.0
234,122,52,51.0
249,169,55,54.0
304,192,63,62.0
263,174,53,52.0
200,161,56,55.0
247,173,54,53.0
152,97,53,52.0
184,117,56,55.0
599,216,61,60.0
170,130,54,52.99999999999999
475,338,59,58.0
285,174,53,51.99999999999999
365,192,64,63.0
311,207,64,63.0
398,258,55,54.0
235,132,52,51.0
281,195,56,55.0
239,141,59,58.0
373,237,59,57.99999999999999
320,187,56,55.0
289,172,54,53.0
265,195,52,51.0
389,258,54,53.0
235,135,58,57.0
259,174,53,52.0
281,210,52,51.0
280,175,54,53.0
238,172,54,53.0
363,171,54,53.0
342,245,63,62.0
310,218,58,57.0
273,175,56,55.0
335,224,57,55.99999999999999
279,167,59,58.0
236,189,54,53.0
269,154,52,51.0
260,194,54,52.99999999999999
299,210,61,60.0
214,145,56,55.0
343,144,55,53.99999999999999
291,178,55,54.0
186,98,51,50.00000000000001
330,248,53,52.0
424,280,56,55.0
372,152,55,54.0
311,191,55,54.0
223,148,57,56.0
232,104,57,56.0
307,167,58,56.99999999999999
363,241,61,60.0
260,205,55,54.0
424,290,60,59.0
288,192,53,52.0
343,253,57,56.0
383,272,59,58.0
356,262,56,55.0
369,241,53,52.0
423,275,61,60.0
237,125,52,51.0
213,121,57,56.0
452,304,64,63.0
312,200,54,53.0
340,188,60,59.0
204,132,55,54.0
496,319,55,54.0
217,153,52,51.0
361,187,65,64.0
241,170,53,52.0
260,197,54,53.0
426,260,55,54.0
319,199,56,55.0
188,125,59,58.0
250,155,52,51.0
261,184,56,55.0
282,194,64,63.0
215,137,55,54.0
489,279,73,72.0
241,179,59,58.0
315,183,51,50.0
440,161,56,55.0
262,133,54,53.0
336,142,53,52.0
245,185,52,51.0
338,197,55,54.0
362,243,55,53.99999999999999
404,122,54,53.0
228,129,55,54.0
291,206,54,53.0
241,134,56,55.0
286,185,54,53.0
284,169,57,56.0
184,116,53,52.0
256,182,54,53.0
358,225,66,65.0
305,163,52,51.0
324,184,57,56.0
240,157,54,53.0
246,121,56,55.0
317,213,58,57.0
229,177,60,59.0
341,216,59,58.0
264,206,65,64.0
372,255,58,57.0
263,140,55,53.99999999999999
187,134,54,52.99999999999999
182,106,55,54.0
220,155,55,54.0
248,174,56,55.0
248,157,65,64.0
356,218,55,54.0
337,199,64,63.0
338,161,58,57.0
233,124,54,53.0
345,174,54,53.0
233,125,55,54.0
198,128,55,54.0
