Number of Iterations,Total Nodes,Nodes in Actual Path,Path Length
684,637,63,62.0
671,629,62,60.99999999999999
427,359,60,59.0
386,298,53,52.0
731,670,59,57.99999999999999
1312,1206,62,61.0
485,372,57,56.0
791,613,56,55.0
1160,1043,65,64.0
535,441,62,61.0
813,779,64,63.0
464,349,56,55.0
1174,1033,69,67.99999999999999
456,409,56,55.0
545,475,58,56.99999999999999
869,757,56,55.0
614,558,64,63.0
825,724,59,58.0
425,358,61,60.0
574,525,57,56.0
799,697,56,55.0
656,549,59,58.0
275,241,54,53.0
660,606,56,55.0
427,368,58,57.0
534,485,63,62.0
758,700,58,56.99999999999999
465,417,59,57.99999999999999
1076,1006,53,51.99999999999999
760,622,56,55.0
766,682,55,54.0
615,546,58,57.0
607,511,60,59.0
598,542,51,50.0
840,782,60,59.0
828,722,57,55.99999999999999
474,340,58,57.0
432,338,64,63.0
932,846,64,62.99999999999999
392,327,55,54.0
572,465,55,54.0
533,487,59,58.0
310,282,58,57.0
514,449,56,55.0
635,575,55,54.0
981,918,60,59.0
307,278,60,59.0
482,420,58,57.0
484,421,61,60.0
532,491,62,61.0
609,557,54,53.0
595,542,59,58.0
580,492,55,54.0
434,387,57,56.0
325,298,58,57.0
390,351,58,57.0
685,613,61,60.0
827,730,59,58.0
923,807,58,57.0
470,407,59,57.99999999999999
606,548,58,57.0
1344,1235,55,54.0
745,663,58,57.0
525,469,58,57.0
459,397,59,58.0
988,868,59,57.99999999999999
422,337,55,54.0
758,713,59,58.0
347,270,61,60.0
549,462,60,59.0
637,561,55,54.0
608,531,59,58.0
646,565,61,60.0
398,336,55,54.0
439,385,54,53.0
873,786,57,56.0
1845,1707,61,60.0
522,441,56,55.0
416,341,61,60.0
850,767,70,69.0
1551,1379,61,59.99999999999999
528,465,58,57.0
425,377,55,54.0
440,321,68,67.0
669,588,53,52.0
1764,1645,57,56.0
513,428,57,56.0
523,466,56,55.0
380,337,56,55.0
274,253,61,60.0
820,764,53,51.99999999999999
923,821,61,60.0
922,784,66,64.99999999999999
435,358,55,54.0
850,774,57,56.0
469,387,55,53.99999999999999
354,310,55,54.0
740,663,60,59.0
682,588,56,55.0
537,331,60,59.0
251,211,55,54.0
985,864,53,52.0
1161,1061,64,63.0
1129,953,64,63.0
439,393,64,63.0
1325,1212,62,60.99999999999999
626,556,56,55.0
793,736,58,57.0
458,395,57,55.99999999999999
666,582,55,54.0
494,448,58,57.0
523,456,58,57.0
504,462,59,58.0
604,547,58,57.0
399,324,64,63.0
683,633,57,55.99999999999999
660,536,59,58.0
705,646,60,59.0
622,567,64,63.0
950,875,64,63.0
377,334,56,54.99999999999999
426,367,65,64.0
439,358,59,57.99999999999999
891,764,58,57.0
1284,1180,60,59.0
475,366,59,58.0
581,480,63,62.0
404,357,51,50.0
596,539,60,59.0
651,587,58,57.0
321,259,58,57.0
566,509,53,52.0
499,419,57,56.00000000000001
420,318,55,53.99999999999999
315,281,57,56.0
840,786,60,59.0
563,505,55,54.0
403,351,59,58.0
564,521,57,56.0
560,480,56,55.0
302,266,56,55.0
815,681,63,62.0
485,438,55,54.0
713,640,68,67.0
954,871,59,57.99999999999999
601,519,58,57.0
550,504,55,54.0
772,677,66,65.0
473,389,55,54.0
361,308,58,57.0
443,390,63,62.0
519,474,56,55.00000000000001
394,362,53,52.0
802,724,57,56.0
521,462,55,54.0
948,818,62,61.0
1274,1179,63,62.0
695,620,54,53.0
1064,955,54,53.0
1475,1372,55,54.0
582,536,61,60.0
887,769,69,68.0
541,471,63,62.0
607,519,54,53.0
362,324,55,54.0
691,615,57,56.0
1969,1839,62,60.99999999999999
457,404,56,55.0
422,363,54,53.0
562,529,60,58.99999999999999
271,190,56,55.0
363,305,53,52.0
633,517,61,60.0
1170,1036,54,53.0
308,235,56,55.0
712,662,60,59.0
906,823,56,55.0
653,577,56,55.0
723,635,60,59.0
638,590,54,53.0
1152,992,56,55.0
394,366,56,55.0
296,245,54,53.0
725,647,55,54.0
621,580,60,59.0
1627,1479,66,65.0
506,462,56,55.0
970,904,60,59.0
1349,1210,64,63.0
431,351,58,57.0
1815,1657,59,58.0
507,455,60,59.0
419,368,60,59.0
1146,1019,69,68.0
502,430,57,56.0
524,381,65,64.0
355,296,61,60.0
458,385,54,53.0
333,243,55,54.0
459,437,68,67.0
808,698,68,67.0
763,704,60,59.0
1166,1042,60,58.99999999999999
617,513,56,55.0
410,368,54,53.0
834,773,64,62.99999999999999
465,443,55,54.0
444,361,54,53.0
686,628,56,55.0
731,660,59,58.0
423,361,62,61.0
855,777,55,54.0
377,350,55,54.0
511,445,53,52.0
613,568,56,55.0
354,298,61,60.0
528,476,59,58.0
471,373,54,53.0
1323,1227,63,62.00000000000001
913,802,60,59.0
994,900,55,54.0
459,417,58,57.0
1233,1076,59,58.0
582,528,59,58.0
471,420,57,56.0
398,378,57,56.0
824,771,58,57.0
521,415,61,60.0
722,658,53,52.0
413,341,58,57.0
795,707,56,54.99999999999999
422,375,55,54.0
402,371,58,57.0
874,784,67,66.0
550,494,57,56.0
464,409,59,58.0
733,663,63,62.0
