Number of Iterations,Total Nodes,Nodes in Actual Path,Path Length
222,168,55,54.0
168,149,56,55.0
158,143,53,52.0
303,222,54,53.0
234,175,56,55.0
216,150,57,56.0
199,171,52,51.0
320,248,62,61.0
276,201,53,52.0
260,173,57,56.0
258,190,57,56.0
263,225,55,54.0
182,153,51,50.0
277,159,55,54.0
223,163,55,54.0
233,174,53,52.0
245,184,54,53.0
287,180,56,55.00000000000001
217,164,54,53.0
246,187,58,56.99999999999999
268,226,53,52.0
227,181,54,53.0
325,167,63,62.0
275,174,52,51.0
194,145,57,56.0
241,177,54,53.0
295,184,58,57.0
304,220,53,52.0
376,290,54,53.0
172,152,53,52.0
236,187,53,52.0
255,187,53,52.0
249,194,51,50.0
212,190,54,53.0
177,141,51,50.0
364,307,59,58.0
167,131,57,56.0
385,262,54,53.0
200,180,53,52.0
200,155,55,53.99999999999999
346,272,54,53.0
280,222,54,53.0
230,194,54,53.0
241,166,58,57.0
194,151,55,54.0
188,165,56,55.0
249,228,53,52.0
392,321,57,56.0
435,362,58,57.0
265,201,54,53.0
219,160,54,53.0
227,178,53,52.0
223,153,52,51.0
283,203,61,60.0
241,158,55,54.0
201,150,53,52.0
341,215,56,55.0
297,207,63,61.99999999999999
180,138,57,56.0
247,182,53,52.0
189,127,52,51.0
186,167,55,54.0
264,174,55,54.0
244,157,59,58.0
203,170,53,52.0
260,219,57,56.0
283,214,58,57.0
219,182,54,53.0
278,223,55,54.0
311,189,55,54.0
212,156,60,59.0
295,241,57,56.0
332,213,61,60.0
388,312,57,56.0
202,155,53,52.0
309,242,54,53.0
198,156,51,50.0
239,186,54,53.0
198,160,56,55.0
166,134,58,57.0
474,386,56,55.0
208,170,55,54.0
121,87,52,50.99999999999999
131,125,56,55.0
232,179,54,53.0
360,222,56,55.0
264,168,63,61.99999999999999
223,144,52,51.0
414,294,62,61.0
206,154,54,52.99999999999999
195,161,54,53.0
237,187,54,53.0
146,128,52,51.0
140,111,55,54.0
268,186,54,52.99999999999999
193,141,54,53.0
367,285,57,56.0
166,157,52,51.0
246,229,54,53.0
218,158,53,52.0
186,112,53,52.0
159,118,52,51.0
346,244,57,56.0
374,202,57,56.0
364,239,54,53.0
324,247,54,53.0
275,188,59,58.0
237,189,54,53.0
371,305,62,61.0
243,185,57,56.0
198,153,53,52.0
180,149,55,54.0
286,247,53,52.0
186,158,54,53.0
181,162,53,52.0
250,171,57,56.0
369,308,50,49.0
347,290,54,52.99999999999999
226,159,58,57.0
251,181,55,54.0
152,132,52,51.0
315,195,54,53.0
285,238,53,52.0
179,130,54,53.0
198,156,58,57.0
167,136,52,51.0
249,166,55,54.0
297,129,59,58.0
250,201,53,52.0
264,162,56,55.0
309,232,55,54.0
149,103,52,51.0
314,203,52,51.0
436,300,66,65.0
425,307,64,63.0
408,337,62,61.0
201,125,55,54.0
177,140,53,52.0
274,201,56,55.0
298,196,53,52.0
325,228,53,52.0
202,168,51,50.0
250,207,55,54.0
237,209,51,49.99999999999999
196,154,52,51.0
280,199,52,51.0
356,274,63,62.0
279,204,55,54.0
282,190,55,54.0
283,222,54,53.0
131,101,54,52.99999999999999
191,148,56,54.99999999999999
